time,sensor,value
1450537914,freezer,-16.8125,
1450537925,fridge,8.9375,
1450537926,freezer,-16.9375,
1450537936,fridge,8.875,
1450537937,freezer,-17,
1450537948,fridge,8.875,
1450537948,freezer,-17,
1450537959,fridge,8.875,
1450537960,freezer,-17.0625,
1450537970,fridge,8.8125,
1450537971,freezer,-17.0625,
1450537982,fridge,8.8125,
1450537982,freezer,-17.0625,
1450537993,fridge,8.75,
1450537994,freezer,-17.1875,
1450538004,fridge,8.75,
1450538005,freezer,-16.9375,
1450538016,fridge,8.8125,
1450538016,freezer,-16.75,
1450538027,fridge,8.8125,
1450538028,freezer,-16.6875,
1450538038,fridge,8.8125,
1450538039,freezer,-16.625,
1450538050,fridge,8.875,
1450538050,freezer,-16.5,
1450538061,fridge,8.875,
1450538062,freezer,-16.375,
1450538124,esquilo,starting,
1450538124,fridge,8.9375,
1450538124,freezer,-15.5625,
1450538135,fridge,9,
1450538136,freezer,-15.5,
1450538147,fridge,9.125,
1450538147,freezer,-15.375,
1450538158,fridge,9.3125,
1450538159,freezer,-13.1875,
1450538169,fridge,9.375,
1450538170,freezer,-10.25,
1450538181,fridge,9.4375,
1450538181,freezer,-8.9375,
1450538192,fridge,9.5625,
1450538193,freezer,-8.5,
1450538203,fridge,9.5625,
1450538204,freezer,-8.1875,
1450538215,fridge,9.625,
1450538215,freezer,-8.0625,
1450538226,fridge,9.6875,
1450538227,freezer,-8,
1450538237,fridge,9.6875,
1450538238,freezer,-7.875,
1450538249,fridge,9.75,
1450538249,freezer,-7.8125,
1450538260,fridge,9.8125,
1450538261,freezer,-7.75,
1450538271,fridge,9.875,
1450538272,freezer,-7.75,
1450538283,fridge,9.9375,
1450538283,freezer,-7.6875,
1450538294,fridge,9.9375,
1450538295,freezer,-7.6875,
1450538305,fridge,9.9375,
1450538306,freezer,-7.6875,
1450538317,fridge,10,
1450538317,freezer,-7.6875,
1450538328,fridge,10.0625,
1450538329,freezer,-7.6875,
1450538339,fridge,10.0625,
1450538340,freezer,-7.6875,
1450538351,fridge,10.125,
1450538351,freezer,-7.75,
